交易日,当日收益率,累计收益率,指数累计,控仓收益_5,控仓累计_5,控仓收益_20,仓位控制_20,控仓累计_20,控仓收益_30,控仓累计_30,控仓收益_60,控仓累计_60
2021-10-26,-0.26,39.1,20.380000000000013,-0.26,24.369999999999994,-0.26,1,14.16,-0.0,28.87,-0.26,31.189999999999998
2021-10-27,-0.26,38.84,20.770000000000014,-0.26,24.109999999999992,-0.26,1,13.9,-0.26,28.61,-0.26,30.929999999999996
2021-10-28,0.01,38.85,20.400000000000013,0.01,24.119999999999994,0.01,1,13.91,0.0,28.61,0.01,30.939999999999998
2021-10-29,0.25,39.1,19.580000000000013,0.25,24.369999999999994,0.0,0,13.91,0.0,28.61,0.25,31.189999999999998
2021-11-01,0.01,39.11,20.14000000000001,0.01,24.379999999999995,0.0,0,13.91,0.0,28.61,0.01,31.2
2021-11-02,0.0,39.11,21.31000000000001,0.0,24.379999999999995,0.0,1,13.91,0.0,28.61,0.0,31.2
2021-11-03,0.03,39.14,20.91000000000001,0.03,24.409999999999997,0.03,1,13.94,0.03,28.64,0.03,31.23
2021-11-04,0.9,40.04,21.18000000000001,0.9,25.309999999999995,0.9,1,14.84,0.9,29.54,0.9,32.13
2021-11-05,-0.14,39.9,22.50000000000001,-0.14,25.169999999999995,-0.14,1,14.7,-0.14,29.4,-0.14,31.990000000000002
2021-11-08,0.57,40.47,21.99000000000001,0.57,25.739999999999995,0.57,1,15.27,0.57,29.97,0.57,32.56
2021-11-09,1.5,41.97,22.620000000000008,1.5,27.239999999999995,1.5,1,16.77,1.5,31.47,1.5,34.06
2021-11-10,-0.02,41.95,23.520000000000007,-0.02,27.219999999999995,-0.02,1,16.75,-0.02,31.45,-0.02,34.04
2021-11-11,0.6,42.55,23.810000000000006,0.6,27.819999999999997,0.6,1,17.35,0.6,32.05,0.6,34.64
2021-11-12,0.0,42.55,24.820000000000007,0.0,27.819999999999997,0.0,1,17.35,0.0,32.05,0.0,34.64
2021-11-15,0.0,42.55,25.700000000000006,0.0,27.819999999999997,0.0,1,17.35,0.0,32.05,0.0,34.64
2021-11-16,-0.42,42.13,26.220000000000006,-0.42,27.399999999999995,-0.42,1,16.93,-0.42,31.629999999999995,-0.42,34.22
2021-11-17,0.71,42.84,25.440000000000005,0.71,28.109999999999996,0.71,1,17.64,0.71,32.339999999999996,0.71,34.93
2021-11-18,-0.48,42.36,26.160000000000004,-0.48,27.629999999999995,-0.48,1,17.16,-0.48,31.859999999999996,-0.48,34.45
2021-11-19,1.37,43.73,26.050000000000004,1.37,28.999999999999996,1.37,1,18.53,1.37,33.23,1.37,35.82
2021-11-22,0.0,43.73,27.160000000000004,0.0,28.999999999999996,0.0,1,18.53,0.0,33.23,0.0,35.82
2021-11-23,0.0,43.73,28.410000000000004,0.0,28.999999999999996,0.0,1,18.53,0.0,33.23,0.0,35.82
2021-11-24,0.0,43.73,28.490000000000002,0.0,28.999999999999996,0.0,1,18.53,0.0,33.23,0.0,35.82
2021-11-25,0.3,44.03,28.650000000000002,0.3,29.299999999999997,0.3,1,18.830000000000002,0.3,33.529999999999994,0.3,36.12
2021-11-26,0.06,44.09,28.53,0.06,29.359999999999996,0.06,1,18.89,0.06,33.589999999999996,0.06,36.18
2021-11-29,-1.07,43.02,28.700000000000003,-1.07,28.289999999999996,-1.07,1,17.82,-1.07,32.519999999999996,-1.07,35.11
2021-11-30,1.14,44.16,29.360000000000003,1.14,29.429999999999996,1.14,1,18.96,1.14,33.66,1.14,36.25
2021-12-01,0.07,44.23,29.860000000000003,0.07,29.499999999999996,0.07,1,19.03,0.07,33.73,0.07,36.32
2021-12-02,0.22,44.45,30.51,0.22,29.719999999999995,0.22,1,19.25,0.22,33.949999999999996,0.22,36.54
2021-12-03,0.0,44.45,30.520000000000003,0.0,29.719999999999995,0.0,1,19.25,0.0,33.949999999999996,0.0,36.54
2021-12-06,-0.34,44.11,30.890000000000004,-0.34,29.379999999999995,-0.34,1,18.91,-0.34,33.60999999999999,-0.34,36.199999999999996
2021-12-07,-0.66,43.45,29.330000000000005,-0.66,28.719999999999995,-0.0,0,18.91,-0.66,32.949999999999996,-0.66,35.54
2021-12-08,0.42,43.87,26.830000000000005,0.0,28.719999999999995,0.0,0,18.91,0.42,33.37,0.42,35.96
2021-12-09,0.19,44.06,28.010000000000005,0.0,28.719999999999995,0.0,0,18.91,0.19,33.559999999999995,0.19,36.15
2021-12-10,0.3,44.36,28.680000000000007,0.3,29.019999999999996,0.0,0,18.91,0.3,33.85999999999999,0.3,36.449999999999996
2021-12-13,0.0,44.36,29.360000000000007,0.0,29.019999999999996,0.0,1,18.91,0.0,33.85999999999999,0.0,36.449999999999996
2021-12-14,0.0,44.36,29.760000000000005,0.0,29.019999999999996,0.0,1,18.91,0.0,33.85999999999999,0.0,36.449999999999996
2021-12-15,0.79,45.15,29.350000000000005,0.79,29.809999999999995,0.79,1,19.7,0.79,34.64999999999999,0.79,37.239999999999995
2021-12-16,-0.08,45.07,29.380000000000006,-0.08,29.729999999999997,-0.08,1,19.62,-0.08,34.56999999999999,-0.08,37.16
